experiment_key,label,experiment_id,case_type,explanation,reference,associated_divergence_type,ground_truth_label,predicted_label,trustscore
false_exp_23,false,23,model_wrong_llm_trusts,"Explanations frame output assertively (e.g., 'strong likelihood').",feature distribution summary: 'strong likelihood of polarized...',explanation_framing,0,2,2
false_exp_24,false,24,model_right_llm_distrusts,"Explanation claims strong victim–villain usage despite value 0.0, creating alarm.","individual FI laymans_summary: ""strong use of 'victim-villain' language (0.0)""",explanation_framing,0,0,1
false_exp_24,false,24,model_wrong_llm_trusts,"Layman summaries give confident causal narrative, downplaying limits",laymans_summary across modules,explanation_framing,0,2,2
false_exp_24,false,24,model_wrong_llm_trusts,"Explanations claim 'strong signs' and 'likely false/deceptive', projecting high confidence.",individual feature importance – laymans_summary,explanation_framing,0,2,2
false_exp_25,false,25,model_wrong_llm_trusts,Layman summaries highlight 'fairly good' and 'consistent ability',performance/confusion → laymans_summary,explanation_framing,0,2,2
false_exp_25,false,25,model_wrong_llm_trusts,Framing: 'predicts True with high confidence' and 'supports the prediction as likely'.,feature distribution (label: True) summary,explanation_framing,0,2,2
mostly_false_exp_21,mostly,exp,model_wrong_llm_trusts,"Explanation asserts no sourcing and one-sidedness, giving a strong rationale.",individual feature importance summary,explanation_framing,1,2,3
mostly_false_exp_22,mostly,exp,model_wrong_llm_trusts,Explanation asserts the claim is likely true with confident rationale,individual feature importance laymans_summary,explanation_framing,1,2,2
mostly_false_exp_23,mostly,exp,model_wrong_llm_trusts,Narrative frames the result as 'likely true' and 'reasonably accurate',summaries: individual FI & confusion matrix layman,explanation_framing,1,2,2
mostly_false_exp_24,mostly,exp,model_wrong_llm_trusts,Framing says 'likely to be polarizing' with strong SHAP drivers,individual feature importance laymans_summary,explanation_framing,1,2,2
half_true_exp_21,half,exp,model_wrong_llm_trusts,"IFI summary asserts 'prediction of True' with strong feature rationale, persuasive",individual feature importance → summary,explanation_framing,1,2,2
half_true_exp_21,half,exp,model_wrong_llm_trusts,Layman summaries emphasize decisive tone/features more than uncertainty cues,laymans_summary across modules,explanation_framing,1,2,2
half_true_exp_22,half,exp,model_right_llm_distrusts,Explanations stress poor source quality and victim–villain cues,"individual feature importance: source_quality 1.0, victim_villain 1.0",explanation_framing,1,1,1
half_true_exp_22,half,exp,model_right_llm_distrusts,Narrative frames model as 'neither highly reliable' with 'moderate uncertainty',"performance metrics summary/layman: moderate uncertainty, ~65% accurate",explanation_framing,1,1,1
half_true_exp_22,half,exp,model_wrong_llm_trusts,Confusion matrix summary frames 'True' as most reliable (0.65).,confusion matrix summary,explanation_framing,1,2,2
half_true_exp_23,half,exp,model_wrong_llm_trusts,IFI/layman summaries assert 'lack of proper evidence' despite source_quality feature_value=0.0.,individual feature importance: summary + feature_value=0.0,explanation_framing,1,2,2
half_true_exp_24,half,exp,model_wrong_llm_trusts,"Framing calls 65% TPR 'quite good', likely inflating perceived reliability.",confusion matrix laymans_summary,explanation_framing,1,2,2
half_true_exp_24,half,exp,model_wrong_llm_trusts,"Accuracy 0.65 framed as 'somewhat reliable,' downplaying uncertainty.",performance metrics laymans_summary,explanation_framing,1,2,2
half_true_exp_25,half,exp,model_wrong_llm_trusts,One summary: 'likely not manipulative'; another: 'problematic (prediction: True)'.,IFI laymans_summary; feature distribution laymans_summary,explanation_framing,1,2,2
half_true_exp_25,half,exp,model_wrong_llm_trusts,Claims prob=1.0 despite neutral features; conflicts with moderate performance.,performance metrics summary,explanation_framing,1,2,2
mostly_true_exp_22,mostly,exp,model_right_llm_distrusts,Feature distribution warns 'Caution... overfitting' due to few high-value features.,[feature distribution for polarization],explanation_framing,2,2,1
mostly_true_exp_22,mostly,exp,model_right_llm_distrusts,SHAP shows polarization positive (0.1387) yet PDP shows higher polarization lowers 'True' prob.,[individual feature importance] vs [partial dependence plot],explanation_framing,2,2,1
mostly_true_exp_25,mostly,exp,model_right_llm_distrusts,Explanations conflict (predicts polarizing vs low polarization=0.1),individual FI vs feature distribution summaries,explanation_framing,2,2,1
true_exp_21,true,21,model_wrong_llm_trusts,Confusion matrix says 'Neither' is 'likely correct' and 'most reliable' (66%).,confusion matrix laymans_summary,explanation_framing,2,1,2
true_exp_21,true,21,model_wrong_llm_trusts,"Performance metrics warn 'use with caution' (accuracy 0.65), but caution overshadowed.",performance metrics laymans_summary,explanation_framing,2,1,2
true_exp_21,true,21,model_right_llm_distrusts,Only 8/158 (5.1%) similar cases; summary flags low representativeness.,"feature distribution (polarization, label=True): summary",explanation_framing,2,2,1
true_exp_21,true,21,model_right_llm_distrusts,'Confidence is limited due to sparse data coverage' explicitly stated.,"feature distribution (polarization, label=True): laymans_summary/summary",explanation_framing,2,2,1
true_exp_22,true,22,model_wrong_llm_trusts,Summaries call the prediction 'calibrated' and of 'moderate confidence'.,individual feature importance & performance metrics summaries,explanation_framing,2,1,2
true_exp_22,true,22,model_right_llm_distrusts,Text called neutral/low polarization yet predicted 'True'—confusing framing,feature distribution 2D + individual importance,explanation_framing,2,2,1
true_exp_22,true,22,model_right_llm_distrusts,"PDP: higher polarization lowers 'True', but summary cites 'high polarization'",PDP (polarization) vs global layman summary,explanation_framing,2,2,1
true_exp_23,true,23,model_wrong_llm_trusts,"Confusion matrix summary calls 'Neither' the 'most stable' prediction, suggesting high reliability",confusion matrix – laymans_summary,explanation_framing,2,1,2
true_exp_23,true,23,model_wrong_llm_trusts,"'Neither' probability stays <0.5 across polarization, signaling uncertainty the summary downplays",partial dependence plot (polarization) – averages below 0.5,explanation_framing,2,1,2
true_exp_23,true,23,model_right_llm_distrusts,2D distribution flags datapoint as in low-activity region with limited support,feature distribution 2D.summary,explanation_framing,2,2,1
true_exp_23,true,23,model_right_llm_distrusts,"PDP shows low 'True' prob (~0.397) at polarization=0.1, suggesting low confidence",partial dependence plot.summary,explanation_framing,2,2,1
true_exp_24,true,24,model_wrong_llm_trusts,Language like 'fairly confident' and 'moderately reliable' boosts trust,confusion matrix layman summary,explanation_framing,2,1,2
true_exp_24,true,24,model_wrong_llm_trusts,'Nuanced balance' narrative emphasizes plausible rationale over uncertainty,individual feature importance summary,explanation_framing,2,1,2
true_exp_25,true,25,model_wrong_llm_trusts,Summaries stress 'supporting the Neither classification' and 'most likely' language,feature distribution + 2D summaries,explanation_framing,2,1,2
true_exp_25,true,25,model_right_llm_distrusts,"Emotionality 0.1 labeled 'high' in explanation, conflicting with feature value",individual feature importance summary,explanation_framing,2,2,1
